step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
0,0.0,0,ASSIGN,L3,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,30.0,1,5G,660.0,0.935,45.0,0.0,0,0,ground intent accepted; local feasibility passed
0,0.0,1,ASSIGN,L5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,30.0,1,5G,960.0,0.96,53.1,0.0,0,0,ground intent accepted; local feasibility passed
0,0.0,2,ASSIGN,L1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,30.0,1,5G,1200.0,0.96,61.2,0.0,0,0,ground intent accepted; local feasibility passed
1,5.0,0,FLY_AND_INFER,L3,1.75,4.666,24.498,0.35,0.933,4.9,0.07,0.187,0.98,107.885,31.025,1,5G,960.0,0.96,53.1,0.0,0,0,moved=25.0m; local obstacle/risk inference
1,5.0,1,FLY_AND_INFER,L5,-11.573,-20.575,8.23,-2.315,-4.115,1.646,-0.463,-0.823,0.329,107.975,31.025,1,5G,1200.0,0.96,61.2,0.0,0,0,moved=25.0m; local obstacle/risk inference
1,5.0,2,YIELD,L1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.97,30.1,0,5G,0.0,0.0,-1.0,0.0,0,0,moved=0.0m; uav:0
2,10.0,0,FLY_AND_INFER,L3,3.0,8.0,42.0,0.25,0.667,3.5,-0.02,-0.053,-0.28,106.351,31.749,1,5G,1200.0,0.96,61.2,0.0,0,0,moved=17.9m; local obstacle/risk inference
2,10.0,1,FLY_AND_INFER,L5,-23.147,-41.15,16.46,-2.315,-4.115,1.646,0.0,0.0,0.0,105.95,31.927,1,5G,840.0,0.96,69.3,0.0,0,0,moved=25.0m; local obstacle/risk inference
2,10.0,2,FLY_AND_INFER,L1,2.404,6.412,24.044,0.481,1.282,4.809,0.096,0.256,0.962,108.005,31.113,0,5G,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
3,15.0,0,FLY_AND_INFER,L3,3.0,33.0,42.0,0.0,5.0,0.0,-0.05,0.867,-0.7,104.236,32.564,1,5G,840.0,0.96,69.3,0.0,0,0,moved=25.0m; local obstacle/risk inference
3,15.0,1,FLY_AND_INFER,L5,-34.72,-61.725,24.69,-2.315,-4.115,1.646,-0.0,-0.0,0.0,103.925,32.721,0,5G,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
3,15.0,2,FLY_AND_INFER,L1,3.0,8.0,30.0,0.119,0.318,1.191,-0.072,-0.193,-0.724,107.458,31.534,0,5G,0.0,0.0,-1.0,0.0,0,0,moved=6.2m; local obstacle/risk inference
4,20.0,0,FLY_AND_INFER,L3,3.0,58.0,42.0,0.0,5.0,0.0,0.0,0.0,0.0,102.121,33.281,1,5G,660.0,0.935,45.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
4,20.0,1,SERVICE,,-45.0,-80.0,32.0,-2.056,-3.655,1.462,0.052,0.092,-0.037,100.297,34.949,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=22.2m; parcel delivered; queued=0.180MB; dropped=0.000MB
4,20.0,2,FLY_AND_INFER,L1,28.0,8.0,30.0,5.0,0.0,0.0,0.976,-0.064,-0.238,105.493,32.375,1,5G,1200.0,0.96,61.2,0.0,0,0,moved=25.0m; local obstacle/risk inference
5,25.0,0,FLY_AND_INFER,L3,3.0,62.0,42.0,0.0,0.8,0.0,0.0,-0.84,0.0,101.716,33.387,0,5G,0.0,0.0,-1.0,0.0,0,0,moved=4.0m; local obstacle/risk inference
5,25.0,1,RETURN,,-33.427,-59.425,23.77,2.315,4.115,-1.646,0.874,1.554,-0.622,98.772,34.98,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; safe return
5,25.0,2,FLY_AND_INFER,L1,42.0,8.0,30.0,2.8,0.0,0.0,-0.44,0.0,0.0,104.357,32.84,1,5G,840.0,0.96,69.3,0.0,0,0,moved=14.0m; local obstacle/risk inference
6,30.0,0,FLY_AND_INFER,L3,18.831,81.349,42.0,3.166,3.87,0.0,0.633,0.614,0.0,99.601,34.006,0,5G,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
6,30.0,1,RETURN,,-21.853,-38.85,15.54,2.315,4.115,-1.646,0.0,0.0,-0.0,97.247,35.008,1,5G,840.0,0.96,69.3,0.18,1,0,moved=25.0m; safe return
6,30.0,2,SERVICE,,55.0,25.0,30.0,2.6,3.4,0.0,-0.04,0.68,0.0,101.044,35.034,1,5G,660.0,0.935,45.0,0.18,1,0,moved=21.4m; parcel delivered; queued=0.180MB; dropped=0.000MB
7,35.0,0,SERVICE,,30.0,95.0,42.0,2.234,2.73,0.0,-0.186,-0.228,0.0,96.315,35.966,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=17.6m; parcel delivered; queued=0.180MB; dropped=0.000MB
7,35.0,1,RETURN,,-10.28,-18.275,7.31,2.315,4.115,-1.646,0.0,0.0,0.0,95.722,35.032,1,5G,660.0,0.935,45.0,0.18,1,0,moved=25.0m; safe return
7,35.0,2,RETURN,,42.0,8.0,30.0,-2.6,-3.4,0.0,-1.04,-1.36,0.0,99.738,34.965,1,5G,960.0,0.96,53.1,0.18,1,0,moved=21.4m; safe return
8,40.0,0,RETURN,,14.169,75.651,42.0,-3.166,-3.87,0.0,-1.08,-1.32,0.0,94.79,35.875,1,5G,660.0,0.935,45.0,0.18,1,0,moved=25.0m; safe return
8,40.0,1,RETURN,,0.0,-0.0,0.0,2.056,3.655,-1.462,-0.052,-0.092,0.037,94.368,34.983,1,5G,960.0,0.96,53.1,0.18,1,0,moved=22.2m; safe return
8,40.0,2,RETURN,,17.0,8.0,30.0,-5.0,0.0,0.0,-0.48,0.68,0.0,98.213,34.994,1,5G,1200.0,0.96,61.2,0.18,1,0,moved=25.0m; safe return
9,45.0,0,RETURN,,3.0,62.0,42.0,-2.234,-2.73,0.0,0.186,0.228,0.0,93.714,35.611,1,5G,960.0,0.96,53.1,0.18,1,0,moved=17.6m; safe return
9,45.0,1,TURNAROUND,,0.0,-0.0,0.0,0.0,0.0,0.0,-0.411,-0.731,0.292,110.0,34.385,1,5G,1200.0,0.96,61.2,0.18,1,0,battery/tank serviced at depot
9,45.0,2,RETURN,,3.0,8.0,30.0,-2.8,0.0,0.0,0.44,0.0,0.0,97.359,34.745,1,5G,840.0,0.96,69.3,0.18,1,0,moved=14.0m; safe return
10,50.0,0,RETURN,,3.0,37.0,42.0,0.0,-5.0,0.0,0.447,-0.454,0.0,92.189,35.563,1,5G,1200.0,0.96,61.2,0.18,1,0,moved=25.0m; safe return
10,50.0,1,ASSIGN,L4,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,33.859,1,5G,840.0,0.96,69.3,0.18,1,0,ground intent accepted; local feasibility passed
10,50.0,2,RETURN,,0.596,1.588,5.956,-0.481,-1.282,-4.809,0.464,-0.256,-0.962,95.834,34.801,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; safe return
11,55.0,0,RETURN,,3.0,12.0,42.0,0.0,-5.0,0.0,0.0,0.0,0.0,90.664,35.52,1,5G,840.0,0.96,69.3,0.18,1,0,moved=25.0m; safe return
11,55.0,1,FLY_AND_INFER,L4,-21.054,10.527,8.422,-4.211,2.105,1.684,-0.842,0.421,0.337,108.095,34.421,1,5G,660.0,0.935,45.0,0.18,1,0,moved=25.0m; local obstacle/risk inference
11,55.0,2,RETURN,,0.0,-0.0,0.0,-0.119,-0.318,-1.191,0.072,0.193,0.724,95.457,34.379,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=6.2m; safe return
12,60.0,0,RETURN,,3.0,8.0,42.0,0.0,-0.8,0.0,0.0,0.84,0.0,90.42,34.958,1,5G,660.0,0.935,45.0,0.18,1,0,moved=4.0m; safe return
