step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
0,0.0,0,ASSIGN,R8,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,36.0,1,MESH,211.2,0.855,110.0,0.0,0,0,ground intent accepted; local feasibility passed
0,0.0,1,ASSIGN,R1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,36.0,1,MESH,307.2,0.88,129.8,0.0,0,0,ground intent accepted; local feasibility passed
0,0.0,2,ASSIGN,R3,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,36.0,1,MESH,384.0,0.88,149.6,0.0,0,0,ground intent accepted; local feasibility passed
1,5.0,0,FLY_AND_INFER,R8,6.554,19.661,13.981,1.311,3.932,2.796,0.262,0.786,0.559,108.395,37.025,1,MESH,307.2,0.88,129.8,0.0,0,0,moved=25.0m; local obstacle/risk inference
1,5.0,1,FLY_AND_INFER,R1,-16.667,16.667,8.333,-3.333,3.333,1.667,-0.667,0.667,0.333,108.395,37.025,1,MESH,384.0,0.88,149.6,0.0,0,0,moved=25.0m; local obstacle/risk inference
1,5.0,2,FLY_AND_INFER,R3,11.529,20.175,9.223,2.306,4.035,1.845,0.461,0.807,0.369,108.395,37.025,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
2,10.0,0,FLY_AND_INFER,R8,13.108,39.323,27.963,1.311,3.932,2.796,0.0,0.0,0.0,106.79,37.927,1,MESH,384.0,0.88,149.6,0.0,0,0,moved=25.0m; local obstacle/risk inference
2,10.0,1,FLY_AND_INFER,R1,-33.333,33.333,16.667,-3.333,3.333,1.667,0.0,-0.0,-0.0,106.79,37.927,1,MESH,268.8,0.88,169.4,0.0,0,0,moved=25.0m; local obstacle/risk inference
2,10.0,2,FLY_AND_INFER,R3,23.057,40.35,18.446,2.306,4.035,1.845,0.0,0.0,0.0,106.79,37.927,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
3,15.0,0,SERVICE,,15.0,45.0,32.0,0.378,1.135,0.807,-0.186,-0.559,-0.398,104.3,39.876,1,MESH,268.8,0.88,169.4,0.18,1,0,moved=7.2m; priority cell searched; queued=0.180MB; dropped=0.000MB
3,15.0,1,FLY_AND_INFER,R1,-50.0,50.0,25.0,-3.333,3.333,1.667,-0.0,0.0,0.0,105.185,38.721,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
3,15.0,2,FLY_AND_INFER,R3,34.586,60.525,27.669,2.306,4.035,1.845,-0.0,-0.0,0.0,105.185,38.721,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
4,20.0,0,DEFER_UPLOAD,,15.0,45.0,32.0,0.0,0.0,0.0,-0.076,-0.227,-0.161,104.3,39.411,1,MESH,211.2,0.855,110.0,0.18,1,0,link available but full result misses this slot
4,20.0,1,FLY_AND_INFER,R1,-66.667,66.667,33.333,-3.333,3.333,1.667,0.0,0.0,0.0,103.58,39.419,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
4,20.0,2,FLY_AND_INFER,R3,46.114,80.7,36.891,2.306,4.035,1.845,0.0,0.0,0.0,103.58,39.419,1,MESH,384.0,0.88,149.6,0.0,0,0,moved=25.0m; local obstacle/risk inference
5,25.0,0,ASSIGN,R5,15.0,45.0,32.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,104.3,39.002,0,MESH,0.0,0.0,-1.0,0.18,1,0,ground intent accepted; local feasibility passed
5,25.0,1,FLY_AND_INFER,R1,-83.333,83.333,41.667,-3.333,3.333,1.667,-0.0,0.0,0.0,101.975,40.034,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
5,25.0,2,FLY_AND_INFER,R3,57.643,100.875,46.114,2.306,4.035,1.845,0.0,0.0,0.0,101.975,40.034,1,MESH,268.8,0.88,169.4,0.0,0,0,moved=25.0m; local obstacle/risk inference
6,30.0,0,FLY_AND_INFER,R5,30.6,25.5,33.17,3.12,-3.9,0.234,0.624,-0.78,0.047,102.695,39.667,0,MESH,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; local obstacle/risk inference
6,30.0,1,SERVICE,,-90.0,90.0,45.0,-1.333,1.333,0.667,0.4,-0.4,-0.2,99.365,41.8,1,MESH,268.8,0.88,169.4,0.18,1,0,moved=10.0m; priority cell searched; queued=0.180MB; dropped=0.000MB
6,30.0,2,SERVICE,,60.0,105.0,48.0,0.471,0.825,0.377,-0.367,-0.642,-0.293,99.613,41.678,1,MESH,211.2,0.855,110.0,0.18,1,0,moved=5.1m; priority cell searched; queued=0.180MB; dropped=0.000MB
