step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
0,0.0,0,ASSIGN,S3,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,32.0,1,WI-FI,825.0,0.945,35.0,0.0,0,0,ground intent accepted; local feasibility passed
0,0.0,1,ASSIGN,S6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,32.0,1,WI-FI,1200.0,0.97,41.3,0.0,0,0,ground intent accepted; local feasibility passed
0,0.0,2,ASSIGN,S5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,32.0,1,WI-FI,1500.0,0.97,47.6,0.0,0,0,ground intent accepted; local feasibility passed
1,5.0,0,FLY_AND_INFER,S3,-8.123,22.845,6.092,-1.625,4.569,1.218,-0.325,0.914,0.244,108.395,33.025,1,WI-FI,1200.0,0.97,41.3,0.0,0,0,moved=25.0m; local obstacle/risk inference
1,5.0,1,FLY_AND_INFER,S6,17.044,18.11,2.557,3.409,3.622,0.511,0.682,0.724,0.102,108.395,33.025,1,WI-FI,1500.0,0.97,47.6,0.0,0,0,moved=25.0m; local obstacle/risk inference
1,5.0,2,YIELD,S5,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.97,32.1,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,moved=0.0m; uav:1
2,10.0,0,SERVICE,,-16.0,45.0,12.0,-1.575,4.431,1.182,0.01,-0.028,-0.007,104.556,35.508,1,WI-FI,1500.0,0.97,47.6,0.18,1,0,moved=24.2m; strip sprayed; chemical_left=3.3; queued=0.180MB; dropped=0.000MB
2,10.0,1,FLY_AND_INFER,S6,34.089,36.219,5.113,3.409,3.622,0.511,0.0,0.0,0.0,106.79,33.927,1,WI-FI,1050.0,0.97,53.9,0.0,0,0,moved=25.0m; local obstacle/risk inference
2,10.0,2,FLY_AND_INFER,S5,17.942,16.821,4.486,3.588,3.364,0.897,0.718,0.673,0.179,108.365,33.113,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
3,15.0,0,ASSIGN,S2,-16.0,45.0,12.0,0.0,0.0,0.0,0.315,-0.886,-0.236,104.556,35.087,1,WI-FI,1050.0,0.97,53.9,0.18,1,0,ground intent accepted; local feasibility passed
3,15.0,1,FLY_AND_INFER,S6,51.133,54.329,7.67,3.409,3.622,0.511,0.0,-0.0,0.0,105.185,34.721,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
3,15.0,2,FLY_AND_INFER,S5,35.885,33.642,8.971,3.588,3.364,0.897,0.0,0.0,0.0,106.76,34.004,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
4,20.0,0,COMMUNICATE,S2,-16.0,45.0,12.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,104.297,34.717,1,WI-FI,825.0,0.945,35.0,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=35.0ms
4,20.0,1,FLY_AND_INFER,S6,68.177,72.438,10.227,3.409,3.622,0.511,-0.0,0.0,-0.0,103.58,35.419,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
4,20.0,2,SERVICE,,48.0,45.0,12.0,2.423,2.272,0.606,-0.233,-0.219,-0.058,103.42,36.186,1,WI-FI,1500.0,0.97,47.6,0.18,1,0,moved=16.9m; strip sprayed; chemical_left=3.3; queued=0.180MB; dropped=0.000MB
5,25.0,0,FLY_AND_INFER,S2,-31.617,64.522,12.0,-3.123,3.904,0.0,-0.625,0.781,0.0,102.762,35.416,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
5,25.0,1,SERVICE,,80.0,85.0,12.0,2.365,2.512,0.355,-0.209,-0.222,-0.031,100.082,37.442,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,moved=17.3m; strip sprayed; chemical_left=3.2; queued=0.180MB; dropped=0.000MB
5,25.0,2,ASSIGN,S4,48.0,45.0,12.0,0.0,0.0,0.0,-0.485,-0.454,-0.121,103.42,35.684,1,WI-FI,1050.0,0.97,53.9,0.18,1,0,ground intent accepted; local feasibility passed
6,30.0,0,FLY_AND_INFER,S2,-47.235,84.043,12.0,-3.123,3.904,0.0,-0.0,0.0,0.0,101.227,36.031,0,WI-FI,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
6,30.0,1,ASSIGN,S7,80.0,85.0,12.0,0.0,0.0,0.0,-0.473,-0.502,-0.071,100.082,36.789,1,WI-FI,1050.0,0.97,53.9,0.18,1,0,ground intent accepted; local feasibility passed
6,30.0,2,FLY_AND_INFER,S4,32.383,64.522,12.0,-3.123,3.904,0.0,-0.625,0.781,0.0,101.885,36.267,1,WI-FI,825.0,0.945,35.0,0.18,1,0,moved=25.0m; local obstacle/risk inference
7,35.0,0,SERVICE,,-48.0,85.0,12.0,-0.153,0.191,0.0,0.594,-0.743,0.0,98.766,37.578,0,WI-FI,0.0,0.0,-1.0,0.18,1,0,moved=1.2m; strip sprayed; chemical_left=2.5; queued=0.180MB; dropped=0.000MB
